id,title,group,salesrank,review_cnt,downloads,rating
307,Manic-Depressive Illness,Book,44292.0,16,16,5.0
321,Intimate Worlds,Book,141866.0,2,2,5.0
322,What Happens After I Die?: Jewish Views of Life After Death,Book,137083.0,3,3,4.5
326,Up The Agency : The Funny Business Of Advertising,Book,23075.0,4,4,4.0
333,Steven Soderbergh: Interviews (Conversations With Filmmakers Series),Book,117950.0,1,1,3.0
335,Getting Ready for Marriage Workbook : How to Really Get to Know the Person You're Going to Marry,Book,7013.0,14,14,4.5
338,Ordinary Mary's Extraordinary Deed,Book,140823.0,0,0,0.0
343,"Women's Health: A Primary Care Clinical Guide, Third Edition",Book,80146.0,1,1,5.0
344,Term Sheets & Valuations - A Line by Line Look at the Intricacies of Venture Capital Term Sheets & Valuations (Bigwig Briefs),Book,3955.0,12,12,5.0
347,"UNIX Network Programming, Volume 2: Interprocess Communications (2nd Edition)",Book,48823.0,10,10,4.5
393,Montana Atlas & Gazetteer (Montana Atlas & Gazetteer),Book,16175.0,2,2,3.0
396,"Brown Ale : History, Brewing Techniques, Recipes (Classic Beer Style Series, 14)",Book,132195.0,2,2,4.0
399,"Botany in a Day:  Thomas J. Elpel's Herbal Field Guide to Plant Families, 4th Ed.",Book,91379.0,9,9,4.5
413,The Literary Guide to the Bible,Book,52061.0,2,2,4.5
422,Your Cosmic Kids: Using Astrology to Understand Your Children,Book,57772.0,1,1,5.0
426,The Drowned and the Saved,Book,103652.0,15,15,4.5
435,The Power of Reiki : An Ancient Hands-On Healing Technique,Book,125967.0,27,27,4.5
439,Narrative of the Life of Frederick Douglass (Dover Thrift Editions),Book,105471.0,62,62,4.5
448,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Book,607.0,141,140,4.5
450,The Exorcist,Book,52294.0,179,179,4.5
472,From Here to Eternity,Book,149198.0,47,47,4.5
494,"We Can Work It Out: How to Solve Conflicts, Save Your Marriage, and Strengthen Your Love for Each Other",Book,5637.0,9,9,5.0
495,Discipleship Journal's 101 Best Small Group Ideas,Book,147390.0,2,2,4.0
498,Perspectives on the Word of God,Book,88323.0,1,1,4.0
510,Available Light: Anthropological Reflections on Philosophical Topics.,Book,102038.0,3,3,4.5
527,Wings of Discovery,Book,80299.0,10,10,5.0
543,Classical Art: From Greece to Rome (Oxford History of Art),Book,119754.0,1,1,5.0
556,Baudelaire,Book,77694.0,3,3,4.0
566,Evangelical Dictionary of Theology (Baker Reference Library),Book,47986.0,7,7,4.5
569,Color and Light in Nature,Book,27337.0,5,5,5.0
577,One Flew Over the Cuckoo's Nest,Book,758.0,316,316,4.5
578,Visions of Culture: An Introduction to Anthropological Theories and Theorists : An Introduction to Anthropological Theories and Theorists,Book,145324.0,1,1,5.0
582,By the Light of the Moon,Book,38164.0,178,178,3.5
583,Nell's Quilt,Book,127204.0,10,10,3.5
596,Buster's Diaries : The True Story of a Dog and His Man,Book,118217.0,7,7,4.5
603,ARCOLOGY - THE CITY IN THE IMAGE OF MAN,Book,74773.0,0,0,0.0
611,Written on Our Hearts: The Old Testament Story of God's Love,Book,41607.0,1,1,5.0
626,Wong's Essentials of Pediatric Nursing (Workbook),Book,61550.0,1,1,4.0
633,Misty of Chincoteague,Book,2745.0,54,54,4.5
640,Nightfall (Bantam Spectra Book),Book,136193.0,64,64,4.0
649,"Chinese Country Antiques: Vernacular Furniture and Accessories, C. 1780-1920",Book,116071.0,3,3,3.0
650,Hypnosis for Change,Book,147034.0,3,3,4.5
652,"The Art of Living : A Guide to Contentment, Joy and Fulfillment",Book,71345.0,0,0,0.0
654,The Real Rules : How to Find the Right Man for the Real You,Book,8342.0,63,63,3.5
666,Art Deco Textiles,Book,135330.0,0,0,0.0
673,Beyond the Rainbow Bridge : Nurturing our children from birth to seven,Book,116177.0,0,0,0.0
681,Ben Hogan's Five Lessons : The Modern Fundamentals of Golf,Book,5559.0,87,87,4.5
695,Your Amazing Newborn (A Merloyd Lawrence Book),Book,52036.0,10,10,4.0
696,Effective Literacy Instruction K-8: Implementing Best Practice (5th Edition),Book,142606.0,1,1,1.0
698,Fiction Writer's Workshop,Book,121895.0,16,16,5.0
700,Signing Naturally: Level 2 (Signing Naturally),Book,92484.0,0,0,0.0
702,On Becoming a Novelist,Book,71327.0,15,15,5.0
710,A New Owners Guide to Cavalier King Charles Spaniels (New Owner's Guide To...),Book,95231.0,7,7,3.5
724,Just David (Whole-Hearted Family Classics Collection) (Whole-Hearted Family Classics Collection),Book,137116.0,25,25,5.0
737,Aquamarine Blue 5: Personal Stories of College Students With Autism,Book,47571.0,3,3,4.5
755,Where Are They Now: Surf & Spy Guitar (Instrumental Twang Guitar Classics,Book,118394.0,0,0,0.0
775,The Great Fire (Newbery Honor Book),Book,27174.0,14,14,5.0
789,Halls of Fame: Essays,Book,48215.0,124,124,5.0
801,Coast Redwood: A Natural and Cultural History,Book,120779.0,2,2,5.0
810,Using Surveys to Value Public Goods : The Contingent Valuation Method (Resources for the Future),Book,82062.0,1,1,5.0
813,Transmetropolitan Vol. 2: Lust for Life,Book,17802.0,18,5,5.0
814,"Ev'Ry Time I Feel the Spirit: 101 Best-Loved Psalms, Gospel Hymns, and Spiritual Songs of the African-American Church",Book,91659.0,3,3,5.0
818,Time Beyond Beginning (First Americans Saga),Book,55779.0,12,12,3.5
824,The Gods Themselves,Book,45996.0,67,67,4.5
829,The Faith Factor : Proof of the Healing Power of Prayer,Book,47086.0,1,1,5.0
837,Before You Remarry,Book,49601.0,3,3,2.5
838,Batman: Nine Lives,Book,118527.0,0,0,0.0
846,The Baby Book: Everything You Need to Know About Your Baby from Birth to Age Two,Book,24920.0,542,540,4.0
849,Toxics A to Z: A Guide to Everyday Pollution Hazards,Book,66599.0,2,2,5.0
859,The Shih Tzu : An Owner's Guide to a Happy Healthy Pet (Happy Healthy Pet),Book,140352.0,5,5,4.5
860,Area 7,Book,147191.0,80,80,3.5
863,The Richest Man in Babylon : The Success Secrets of the Ancients,Book,41024.0,258,258,5.0
888,Randomized Algorithms (Cambridge International Series on Parallel Computation),Book,149230.0,5,5,4.0
896,Fighting For Honor : Japanese Americans and World War II,Book,144238.0,1,1,4.0
908,"The Preemie Parents' Companion: The Essential Guide to Caring for Your Premature Baby in the Hospital, at Home, and Through the First Years",Book,77203.0,7,7,4.5
915,Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life,Book,77236.0,55,55,3.5
920,This Is My Wish for You,Book,136038.0,4,4,5.0
924,The Art of Doubles: Winning Tennis Strategies,Book,133381.0,11,11,4.5
936,Soulshaping: Taking Care of Your Spiritual Life Through Godly Disciplines,Book,123352.0,2,2,5.0
938,Towards a New Architecture,Book,38536.0,7,7,3.5
955,Easy Spanish for Construction,Book,128054.0,1,1,4.0
968,The God Who Is There,Book,35431.0,14,13,4.0
976,Hell House,Book,48515.0,108,108,4.0
981,Dark Continent : Europe's Twentieth Century,Book,34062.0,16,16,4.0
986,Liberating the Gospels : Reading the Bible with Jewish Eyes,Book,70096.0,36,36,4.0
989,Into the Widening World: International Coming-Of-Age Stories,Book,70243.0,3,3,4.5
1011,Second Helpings from Union Square Cafe: 160 New Recipes from New York's Favorite Restaurant,Book,118373.0,10,10,4.5
1019,"An Introduction to Programming with Visual Basic.NET, Fifth Edition",Book,125114.0,7,7,3.5
1022,"A Working Stiff's Manifesto : A Memoir of Thirty Jobs I Quit, Nine That Fired Me, and Three I Can't Remember",Book,106913.0,10,10,4.5
1038,Going Solo,Book,10330.0,22,22,4.5
1042,The Waiting Child: How the Faith and Love of One Orphan Saved the Life of Another,Book,123768.0,38,38,4.5
1051,"Raising a Happy, Unspoiled Child",Book,78866.0,17,17,4.0
1059,Barron's How to Prepare for the Ssat/Isee: Secondary School Admission Test/Independent School Entrance Exam (Barron's How to Prepare for High School Entrance Examinations),Book,62671.0,3,3,1.5
1098,Food and Our Bones: The Natural Way to Prevent Osteoporosis,Book,11700.0,3,3,5.0
1103,The Golden Chance,Book,43326.0,12,12,4.5
1110,Faster Smarter Beginning Programming,Book,61430.0,1,1,5.0
1113,"The Secret Teachings of All Ages : An Encyclopedic Outline of Masonic, Hermetic, Qabbalistic, and Rosicrucian Symbolical Philosophy",Book,148588.0,41,41,5.0
1131,"Slang and Euphemism: A Dictionary of Oaths, Curses, Insults, Ethnic Slurs, Sexual Slang and Metaphor, Drug Talk, College Lingo, and Related Matters (Signet Reference)",Book,50230.0,7,7,4.0
1136,Sports Injury Handbook : Professional Advice for Amateur Athletes,Book,32446.0,3,3,4.5
1139,Will: The Autobiography of G. Gordon Liddy,Book,44921.0,43,43,4.5
1143,Copycat Marketing 101: How to Copycat Your Way to Wealth,Book,91194.0,9,9,4.0
1151,"The Lion, the Witch and the Wardrobe (Full-Color Collector's Edition)",Book,681.0,381,380,4.5
1159,Algebra 1,Book,21468.0,1,1,4.0
1165,Counting Kisses,Book,110574.0,36,36,4.5
1172,For Your Own Good : Hidden Cruelty in Child-Rearing and the Roots of Violence,Book,22272.0,15,15,5.0
1201,The Nutritional Bypass : Reverse Atherosclerosis Without Surgery,Book,43763.0,0,0,0.0
1203,"Grandmothers Are Like Snowflakes...No Two Are Alike : Words of Wisdom, Gentle Advice, & Hilarious Observations",Book,31359.0,4,4,5.0
1212,The Martian Chronicles,Book,3206.0,268,268,4.0
1214,New Sales Speak,Book,63874.0,11,11,4.5
1223,How to Restore Your Motorcycle,Book,47054.0,1,1,5.0
1227,The Enduring South: Subcultural Persistence in Mass Society,Book,114943.0,0,0,0.0
1249,Ortho's All About Greenhouses (Ortho's All about),Book,14605.0,1,1,4.0
1255,Your Five- and Six-Year-Old: As They Grow,Book,29292.0,2,2,4.5
1269,Tell Me What to Eat If I Have Acid Reflux: Nutrition You Can Live With (Tell Me What to Eat),Book,31994.0,12,12,4.0
1275,Hitchhiker's Guide to Visual Basic and SQL Server,Book,90645.0,36,36,3.0
1280,The Federalist Papers,Book,143973.0,45,45,4.5
1297,Murder Gets A Life (A Souther Sisters Mystery),Book,32450.0,18,18,4.5
1298,Extraordinary Golf: The Art of the Possible,Book,42416.0,24,24,5.0
1304,Smart Medicine for Healthier Living : Practical A-Z Reference to Natural and Conventional Treatments for Adults,Book,19792.0,7,7,5.0
1314,MWSS : Object-Oriented Design in Java (Mitchell Waite Signature Series),Book,112118.0,26,26,4.0
1316,Severed: The True Story of the Black Dahlia Murder,Book,31978.0,110,110,4.5
1317,Wise Words and Quotes,Book,149369.0,1,1,1.0
1322,ABAP Objects: Introduction to Programming SAP Applications,Book,16821.0,16,16,3.5
1329,Stairway to Heaven: Led Zeppelin Uncensored,Book,143173.0,49,49,3.0
1338,The Second Mrs. Gioconda,Book,31745.0,11,11,5.0
1344,Words Were Originally Magic,Book,105971.0,0,0,0.0
1346,"Cracking the GRE Psychology Test, 6th Edition (Cracking the Gre Psychology)",Book,38783.0,17,17,4.0
1354,Dr. Seuss & Mr. Geisel: A Biography,Book,97073.0,9,9,4.0
1371,"Specter of the Past (Star Wars: The Hand of Thrawn, Book One)",Book,18558.0,221,221,4.5
1376,Be Your Own Brand: A Breakthrough Formula for Standing Out from the Crowd,Book,141178.0,9,9,4.5
1377,70-220: MCSE Guide to Designing Microsoft Windows 2000 Security,Book,148463.0,0,0,0.0
1380,"AGHORA, At the Left Hand of God (Aghora)",Book,62274.0,21,21,5.0
1391,Alif Baa: Introduction to Arabic Letters and Sounds,Book,23006.0,24,24,4.5
1394,The Darwin Awards II : Unnatural Selection,Book,26591.0,31,31,3.5
1415,101 Biggest Mistakes Managers Make and How to Avoid Them,Book,5514.0,6,6,4.0
1421,Christian Ministers Manual/03029,Book,50869.0,4,4,5.0
1433,Human Personality and Its Survival of Bodily Death (Studies in Consciousness),Book,149805.0,4,4,4.0
1437,"Workbook in Spanish First Year (2nd Ed., R 44 W)",Book,130433.0,3,3,4.5
1441,The Upanishads,Book,8071.0,10,10,5.0
1461,README FIRST for a User's Guide to Qualitative Methods,Book,65870.0,0,0,0.0
1462,The Yokota Officers Club : A Novel (Ballantine Reader's Circle),Book,102972.0,49,49,5.0
1468,That's Not My Tractor: Its Engine Is Too Bumpy (Touchy-Feely Board Book),Book,91939.0,3,3,5.0
1472,American Sign Language Concise Dictionary,Book,42831.0,10,10,4.5
1489,Bad Boy: The Murderous Life of Kenneth Allen McDuff,Book,103252.0,4,4,5.0
1493,Daniel Boone : Frontier Adventures (Easy Biographies),Book,104119.0,0,0,0.0
1505,DK Nature Encyclopedia,Book,24627.0,3,3,5.0
1522,Philosophy for Dummies,Book,64536.0,66,66,3.0
1530,Just Like Floss,Book,101329.0,3,3,4.5
1550,Reinventing Comics : How Imagination and Technology Are Revolutionizing an Art Form,Book,48385.0,27,27,3.5
1553,The Secret Language of Success: Using Body Language to Get What You Want,Book,76424.0,3,3,5.0
1571,Everything We Had:  An Oral History of the Vietnam War,Book,60816.0,21,21,4.0
1586,Chameleon,Book,98994.0,1,1,5.0
1590,Legendary Lover (St. John-Duras),Book,74832.0,51,51,2.5
1615,A Green History of the World : The Environment and the Collapse of Great Civilizations,Book,83357.0,9,9,3.5
1638,The 108 Skills of Natural Born Leaders,Book,125194.0,3,3,5.0
1644,"Jim Bridger, Mountain Man",Book,60721.0,5,5,3.5
1673,Abandonment to Divine Providence,Book,29380.0,18,18,4.5
1732,Powder Burn (Vintage Crime/Black Lizard),Book,97025.0,2,2,3.5
1740,"Emotionally Healthy Church, The",Book,4584.0,13,13,5.0
1752,Tornadoes,Book,68938.0,1,1,5.0
1756,FastAct Pocket First Aid Guide,Book,36600.0,4,4,5.0
1758,"The Super-Absorbent, Biodegradable, Family-Size Baby Blues : A Bbay Blues Treasury (Baby Blues Treasury)",Book,108031.0,10,10,5.0
1776,"Coyote Moon (Buffy the Vampire Slayer, Book 3)",Book,39739.0,46,46,4.5
1784,Beyond Cloning: Religion and the Remaking of Humanity,Book,22554.0,0,0,0.0
1790,"Looking Out, Looking In",Book,127372.0,0,0,0.0
1797,Complete GED Preparation (Complete GED Preparation) (Complete Ged Preparation),Book,2851.0,7,7,4.0
1798,How It Feels to Be Adopted,Book,133411.0,4,4,4.5
1801,The Mammoth Book of Historical Erotica,Book,83392.0,5,5,4.0
1806,Black Stallion and Satan (Black Stallion Series),Book,71706.0,13,13,5.0
1809,Timeless Wisdom: Illuminating Thoughts on the Art of Living,Book,91035.0,6,6,5.0
1810,The Day After Tomorrow,Book,74469.0,181,181,4.0
1817,Ultimate Sticker Book : Animal (The Ultimate Sticker Book),Book,102412.0,1,1,3.0
1820,Belinda,Book,107765.0,76,76,4.0
1822,Cordina's Crown Jewel,Book,93160.0,24,24,4.0
1829,Laura's Album: A Remembrance Scrapbook of Laura Ingalls Wilder,Book,12555.0,4,4,4.5
1830,"Naked Places, A Guide for Gay Men to Nude Recreation and Travel, Third Edition",Book,140819.0,8,8,5.0
1836,The French Quarter: An Informal History of the New Orleans Underworld,Book,148435.0,4,4,4.0
1838,Worry,Book,24115.0,13,13,4.0
1839,The Wind in the Willows,Book,63676.0,1,1,4.0
1843,Modern Psychotherapies: A Comprehensive Christian Appraisal,Book,55450.0,3,3,5.0
1844,Treason by the Book,Book,131089.0,14,14,4.5
1850,Hanging On to Max,Book,89313.0,30,30,4.5
1851,Economic Development (8th Edition),Book,45949.0,5,5,4.5
1853,The American Accent Guide: A complete and comprehensive course on the pronunciation and speaking style of American English for individuals of all language backgrounds/ book and 8 cassettes,Book,76486.0,9,9,5.0
1859,"Mouse Makes Magic: Phonics Reader (Step-Into-Reading, Step 2)",Book,90014.0,1,1,5.0
1864,Zoom City (Growing Tree),Book,66993.0,11,11,4.0
1865,Catalysis in Chemistry and Enzymology,Book,116258.0,1,1,5.0
1872,Kipper's Sunny Day: [Lift the Flap],Book,119243.0,0,0,0.0
1896,Jim Church's Essential Guide to Composition : A Simplified Approach to Taking Better Underwater Pictures,Book,51314.0,8,8,5.0
1907,Universal Command Guide: For Operating Systems,Book,92476.0,10,10,5.0
1922,PMP Challenge!,Book,41975.0,0,0,0.0
1945,Abba's Child: The Cry of the Heart for Intimate Belonging,Book,46189.0,29,29,4.5
1948,Bewitched Forever: The Immortal Companion to Television's Most Magical Supernatural Situation Comedy,Book,67824.0,17,17,5.0
1955,Windows XP for Dummies Quick Reference,Book,40696.0,6,6,3.0
1959,Big Sur,Book,31538.0,44,44,4.5
1962,Understanding Children and Adolescents (4th Edition),Book,28567.0,1,1,5.0
1969,"Best Practice: New Standards for Teaching and Learning in America's Schools, Second Edition",Book,24153.0,5,5,4.0
1971,Basic Topology (Undergraduate Texts in Mathematics),Book,84967.0,6,6,2.5
1974,The Joy of Pi,Book,43640.0,31,31,4.0
1975,The Fastest Way To Get Pregnant Naturally,Book,6490.0,41,41,4.0
1976,GRE Prep Course (with Software),Book,127317.0,10,10,4.0
1981,Down Time: Great Writers on Diving,Book,121573.0,13,13,4.5
1985,Inner Speed Secrets Mental Strategies to Maximize Your Racing Performance: Strategies to Maximize Your Racing Performance,Book,13280.0,3,3,5.0
1996,Tarot Divination,Book,57661.0,2,2,4.0
1997,"A Testament to Freedom : Essential Writings of Dietrich Bonhoeffer, The",Book,57409.0,2,2,5.0
2001,The New Kid on the Block,Book,14382.0,10,10,5.0
2005,Nurturing Spirituality in Children: Simple Hands-On Activities,Book,46487.0,3,3,4.5
2026,Jigsaw: An Unsentimental Education,Book,50008.0,3,3,4.5
2032,The MAGIC YEARS,Book,6045.0,9,9,5.0
2047,Practical Atlas for Bacterial Identification,Book,77080.0,1,1,3.0
2054,Help! I'm Laughing And I Can't Get Up Fall-down Funny Stories To Fill Your Heart And Lift Your Spirit,Book,59924.0,2,2,5.0
2055,The Book of Shaker Furniture,Book,148486.0,4,4,4.5
2057,Merriam-Webster's Encyclopedia of World Religions,Book,138694.0,4,4,4.0
2071,The Gods That Walk Among Us,Book,114081.0,11,11,3.0
2073,Stuck in Neutral,Book,18902.0,145,145,4.0
2085,The Tightwad Gazette III: Promoting Thrift as a Viable Alternative Lifestyle,Book,113016.0,19,19,4.0
2117,"Three Plums In One : One for the Money, Two for the Dough, Three to Get Deadly",Book,2283.0,29,29,4.5
2118,Oxford Dictionary of English Etymology,Book,44689.0,4,4,4.5
2119,Chemistry for Dummies,Book,8085.0,10,10,4.0
2144,The Dinosaur Who Lived in My Backyard (Picture Puffins),Book,21033.0,1,1,5.0
2145,Survey Questions : Handcrafting the Standardized Questionnaire (Quantitative Applications in the Social Sciences),Book,47554.0,2,2,5.0
2152,Art for Dummies,Book,11216.0,19,19,3.0
2155,Arkansas Traveler (Benni Harper Mystery),Book,144778.0,20,20,4.5
2161,The Oxford Study Bible: Revised English Bible With Apocrypha,Book,99413.0,17,17,4.5
2171,Fields of Dreams: A Guide to Visiting and Enjoying All 30 Major League Ballparks,Book,89659.0,12,12,3.5
2173,Dinosaur Bar-B-Que: An American Roadhouse,Book,12988.0,35,35,5.0
2182,The Kitchen Idea Book (Idea Book),Book,22919.0,14,14,4.5
2183,Retired Racing Greyhounds for Dummies,Book,38740.0,23,23,4.5
2186,"Mama, Do You Love Me?",Book,102880.0,28,28,4.5
2194,"Mad Ship (The Liveship Traders, Book 2)",Book,16531.0,92,92,4.5
2197,Dog Training in 10 Minutes (Howell Reference Books),Book,14374.0,4,4,4.5
2200,Microbranding: Build a Powerful Personal Brand and Beat Your Compe,Book,104209.0,4,4,5.0
2210,Lonely Planet Hiking in the Sierra Nevada (Lonely Planet Hiking in the Sierra Nevada),Book,25729.0,1,1,5.0
2222,Hiking Lassen Volcanic National Park,Book,53198.0,0,0,0.0
2228,Secrets Of Droon #13 : The Mask Of Maliban (Secrets Of Droon),Book,55744.0,1,1,5.0
2229,It Looked Like Spilt Milk,Book,24497.0,6,6,5.0
2236,The Four Books on Architecture,Book,134087.0,3,3,5.0
2259,"Contexts of Justice: Political Philosophy beyond Liberalism and Communitarianism (Philosophy, Social Theory, and the Rule of Law)",Book,101418.0,0,0,0.0
2270,Toronto City Guide,Book,44168.0,10,10,4.5
2274,Wars of Watergate: The Last Crisis of Richard Nixon,Book,139450.0,6,6,5.0
2279,Basic Lumber Engineering for Builders,Book,107898.0,1,1,5.0
2285,Encountering the Old Testament: A Christian Survey (Encountering Biblical Studies),Book,17729.0,8,8,5.0
2296,Texts for Preaching: A Lectionary Commentary Based on the Nrsv : Year B,Book,88041.0,1,1,4.0
2298,Planet of the Apes,Book,48638.0,71,71,4.5
2322,The Eucharist Sacrament of the Kingdom: Sacrament of the Kingdom,Book,139732.0,2,2,5.0
2323,Cisco IOS Access Lists,Book,101438.0,8,8,3.5
2326,Bourgeois Utopias: The Rise and Fall of Suburbia,Book,54691.0,1,1,5.0
2330,The Great and Terrible Quest,Book,95463.0,1,1,5.0
2332,Ready-to-Use Trades and Services Silhouettes (Clip Art),Book,118979.0,0,0,0.0
2339,In the Time of the Butterflies,Book,41819.0,145,145,4.5
2341,Middlesex: A Novel,Book,14033.0,517,510,4.5
2343,"A+ Exam Cram 2 (Exam Cram 220-221, Exam Cram 220-222)",Book,9662.0,30,30,3.0
2345,The Consultant's Big Book of Organization Development Tools : 50 Reproducible Intervention Tools to Help Solve Your Clients' Problems,Book,15069.0,0,0,0.0
2346,Black Lightning,Book,44760.0,35,35,3.5
2348,Fallen Angels: Six Noir Tales Told for Television,Book,65802.0,2,2,5.0
2365,Yoga and the Quest for the True Self,Book,95035.0,29,29,4.5
2379,Wine Spectator's California Wine,Book,146942.0,3,3,4.5
2390,The Best Test Preparation for the Asvab: Armed Services Vocational Aptitude Battery (REA Test Preps),Book,17783.0,4,4,5.0
2397,The Gold's Gym Training Encyclopedia,Book,43821.0,4,4,4.5
2412,The Origins of the Mithraic Mysteries: Cosmology and Salvation in the Ancient World,Book,22536.0,13,13,4.5
2418,"Inc. Yourself : How to Profit By Setting Up Your Own Corporation, Completely Revised 9th Edition (Inc. Yourself: How to Profit by Setting Up Your Own Corporation (Paperback))",Book,143436.0,31,31,4.5
2419,Fear and Loathing: On the Campaign Trail,Book,7644.0,56,55,4.5
2423,Things Fall Apart (Everyman's Library (Cloth)),Book,14276.0,408,408,4.0
2426,The Queen of America Goes to Washington City: Essays on Sex and Citizenship (Series Q),Book,31220.0,12,12,4.0
2429,"Psychology : Themes and Variations, Briefer Version (Paperbound Edition with InfoTrac)",Book,146200.0,8,8,4.5
2441,Killing Blow:  Errand of Vengeance Book Two (Star Trek The Original Series),Book,55094.0,7,7,4.0
2443,"Much Depends on Dinner: The Extraordinary History and Mythology, Allure and Obsessions, Perils and Taboos, of an Ordinary Meal",Book,48279.0,8,8,4.5
2448,The Art and Business of High School Senior Portrait Photography,Book,43414.0,7,7,4.5
2463,"Bounce Your Body Beautiful : 6 Weeks to a Sexier, Firmer Body",Book,149724.0,9,9,4.5
2468,Financial Success : Harnessing the Power of Creative Thought,Book,125889.0,9,9,4.5
2469,Portraits of Christ in Genesis (M.R. De Haan Classic Library),Book,95137.0,4,4,5.0
2470,The Mediterranean Vegan Kitchen,Book,3876.0,38,38,5.0
2483,The Arrow over the Door,Book,60953.0,2,2,4.5
2484,The Cube,Book,112887.0,24,24,4.5
2486,Extreme Pokemon: The Ultimate Guide for Poke-Fanatics! (Pokémon),Book,58715.0,1,1,5.0
2487,But He Was Good to His Mother : The Lives and Crimes of Jewish Gangsters,Book,82621.0,8,8,4.5
2498,Stiffed: The Betrayal of the American Man,Book,75334.0,112,112,3.0
2501,The Narcissistic Family : Diagnosis and Treatment,Book,9727.0,19,19,5.0
2505,"Create an Oasis With Greywater: Your Complete Guide to Choosing, Building and Using Greywater Systems",Book,10247.0,7,7,5.0
2515,The Hebrew-Greek Key Word Study Bible: King James Version; Burgundy Bonded Leather,Book,23701.0,40,40,4.5
2531,"I Have to Go! (Munsch, Robert N., Munsch for Kids.)",Book,69256.0,10,10,5.0
2534,The Art of Dreaming,Book,31450.0,37,37,4.0
2549,Main Street (Signet Classics (Paperback)),Book,42183.0,37,37,4.0
2552,Atlas Shrugged,Book,782.0,1244,1240,4.0
2555,The Glass Menagerie CD,Book,101233.0,108,108,3.5
